ano;mes;media_preco;desvio_padrao;preco_min;preco_max;variacao_percentual
2024;11;85687.3601419989;;85687.3601419989;85687.3601419989;31.100531946338307
2024;12;98380.90778199892;;98380.90778199892;98380.90778199892;14.813792394776314
2025;1;99696.0625290586;;99696.0625290586;99696.0625290586;1.3367987516174518
2025;2;95922.84913565071;;95922.84913565071;95922.84913565071;-3.7847165652185155
2025;3;85158.74378752633;;85158.74378752633;85158.74378752633;-11.221628053293298
2025;4;86068.12520336392;;86068.12520336392;86068.12520336392;1.0678661701569059
2025;5;103284.77061411348;;103284.77061411348;103284.77061411348;20.003509278341603
2025;6;105714.03237053214;;105714.03237053214;105714.03237053214;2.352003825902571
2025;7;115067.70320220456;;115067.70320220456;115067.70320220456;8.848088207332228
2025;8;115082.6039365858;;115082.6039365858;115082.6039365858;0.012949536635020742
2025;9;112961.9429927098;;112961.9429927098;112961.9429927098;-1.8427293711954618
2025;10;114559.91665838344;;114559.91665838344;114559.91665838344;1.4146124113470382
